repo_slug,repo_url,num_forks,num_watchers,num_stars,primary_language,num_PRs,num_PRs_human,num_PRs_agent,num_PRs_bot,num_months_with_agentic_PRs,filter_passed,filter_reason,min_monthly_commits_observed,branch_checked,commits_2025-12,commits_2026-01,commits_2026-02,commits_2026-03,commits_2026-04,commits_2026-05
Azure/autorest.typescript,https://github.com/Azure/autorest.typescript,78,270,184,TypeScript,1708,1520,116,72,10,1,passed,19,auto,19,28,37,34,27,24
onnx/onnx,https://github.com/onnx/onnx,3824,425,19845,Python,2851,2456,44,351,7,1,passed,23,auto,23,57,35,42,47,94
meziantou/Meziantou.Framework,https://github.com/meziantou/Meziantou.Framework,109,21,781,C#,1029,293,80,656,6,1,passed,22,auto,31,59,22,106,268,213
Azure/azure-sdk-for-js,https://github.com/Azure/azure-sdk-for-js,1302,405,2250,TypeScript,22322,19990,187,2145,10,1,passed,100,auto,100,123,102,233,245,125
Skyscanner/backpack-android,https://github.com/Skyscanner/backpack-android,36,99,148,Kotlin,2203,832,12,1359,6,1,passed,15,auto,17,34,19,36,29,15
dotnet/diagnostics,https://github.com/dotnet/diagnostics,383,231,1295,C++,4045,1270,26,2749,7,1,passed,13,auto,16,13,23,18,22,23
microsoft/vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,675,64,2487,TypeScript,3277,2928,290,59,9,1,passed,23,auto,63,60,44,41,45,23
stryker-mutator/stryker-net,https://github.com/stryker-mutator/stryker-net,210,23,1919,C#,1759,669,13,1077,5,1,passed,14,auto,14,19,40,42,38,29
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,2012,161,20806,Python,12054,9934,670,1450,8,1,passed,227,auto,368,276,281,323,227,228
holoviz/panel,https://github.com/holoviz/panel,567,60,5514,Python,3900,3777,10,113,4,1,passed,20,auto,36,31,29,59,20,39
microsoft/fhir-server,https://github.com/microsoft/fhir-server,565,85,1304,TSQL,3432,2516,29,887,6,1,passed,27,auto,29,36,36,33,28,27
firebase/firebase-android-sdk,https://github.com/firebase/firebase-android-sdk,649,176,2443,Java,4472,4073,26,373,9,1,passed,27,auto,27,33,48,99,41,72
trezor/trezor-suite,https://github.com/trezor/trezor-suite,321,41,907,TypeScript,15309,14888,46,375,7,1,passed,578,auto,578,813,967,735,822,730
Advance-Technologies-Foundation/clio,https://github.com/Advance-Technologies-Foundation/clio,23,11,42,C#,189,129,11,49,4,1,passed,54,auto,60,54,93,199,268,168
IsmaelMartinez/teams-for-linux,https://github.com/IsmaelMartinez/teams-for-linux,298,55,3897,JavaScript,663,473,135,55,5,1,passed,11,auto,11,33,121,91,60,62
dotnet/winforms,https://github.com/dotnet/winforms,1067,305,4702,C#,8468,5205,20,3243,5,1,passed,19,auto,25,34,19,40,23,35
influxdata/docs-v2,https://github.com/influxdata/docs-v2,320,40,78,Answer Set Programming,3669,3562,73,34,5,1,passed,37,auto,63,54,37,49,77,50
TanStack/router,https://github.com/TanStack/router,1349,43,12226,TypeScript,3426,3227,63,136,7,1,passed,88,auto,169,194,133,167,135,88
JanDeDobbeleer/oh-my-posh,https://github.com/JanDeDobbeleer/oh-my-posh,2615,74,20571,Go,3696,2731,30,935,6,1,passed,46,auto,94,67,70,63,46,46
